isolate	fc	logfc	fc_0.1	fc_0.2	fc_0.33	fc_0.66	fc_0.8	fc_0.9
MR001	0.115570469798658	-3.113155282840039	1	1	0	0	0	0
MR010	0.057503355704698	-4.120210040373992	1	0	0	0	0	0
MR012	0.152496644295302	-2.7131505985186735	1	1	1	0	0	0
MR025	0.114765100671141	-3.123244100463625	1	1	0	0	0	0
MR036	0.122013422818792	-3.0348882260427783	1	1	0	0	0	0
MR037	0.650579150579151	-0.6202035065046944	1	1	1	1	1	0
MR039	0.10255033557047	-3.2855958822011346	1	1	0	0	0	0
MR041	7.78185328185328	2.960113780164525	1	1	1	1	1	1
MR043	0.009395973154362	-6.733741693291984	0	0	0	0	0	0
MR044	0.615830115830116	-0.699395673921684	1	1	1	1	1	0
MR045	0.062120805369128	-4.008779656016747	1	0	0	0	0	0
MR049	11.5830115830116	3.5339384976966914	1	1	1	1	1	1
MR050	0.059194630872483	-4.078389864679371	1	0	0	0	0	0
MR059	8.41698841698842	3.073304131977735	1	1	1	1	1	1
MR084	0.066442953020134	-3.9117399952699192	1	0	0	0	0	0
MR090	0.777992277992278	-0.36217225915858653	1	1	1	1	1	0
MR094	0.100134228187919	-3.319992889981655	1	1	0	0	0	0
MR097	0.08	-3.643856189774725	1	1	0	0	0	0
MR102	0.008577181208054	-6.865280684177202	0	0	0	0	0	0
MR103	0.054712418300654	-4.1919878652138856	1	0	0	0	0	0
MR107	0.052702702702703	-4.245979241654056	1	0	0	0	0	0
MR124	0.681467181467181	-0.5532839144153746	1	1	1	1	1	0
MR129	0.793436293436294	-0.33381370400487004	1	1	1	1	1	0
MR134	0.004308724832215	-7.8585233180018665	0	0	0	0	0	0
MR138	0.08751677852349	-3.5142965560058075	1	1	0	0	0	0
MR142	2.27606177606178	1.1865397152932113	1	1	1	1	1	1
MR153	0.149664429530201	-2.7401967154292226	1	1	0	0	0	0
MR155	1.58108108108108	0.6609113539544538	1	1	1	1	1	1
MR158	0.019677852348993	-5.667283416990458	0	0	0	0	0	0
MR159	0.350029463759576	-1.5144517287418964	1	1	1	0	0	0
MR164	0.126694166175604	-2.980577999953203	1	1	0	0	0	0
MR169	0.159693576900412	-2.6466218081887964	1	1	1	0	0	0
MR174	0.062816735415439	-3.99270722167085	1	0	0	0	0	0
MR175	0.134944018856806	-2.889567061445721	1	1	0	0	0	0
MK031	0.077852348993289	-3.6831156202219444	1	1	0	0	0	0
MK058	0.158120805369128	-2.660900886406421	1	1	1	0	0	0
MK062	0.075302013422819	-3.7311677496280895	1	0	0	0	0	0
MK125	0.986486486486486	-0.019628806748933324	1	1	1	1	1	0
MK141	0.019664429530201	-5.668267855814664	0	0	0	0	0	0
MK179	0.098408956982911	-3.3450665570686113	1	1	0	0	0	0
MK181	0.100176782557454	-3.3193799134049664	1	1	0	0	0	0
MK183	11.5830115830116	3.5339384976966914	1	1	1	1	1	1
MK185	8.8996138996139	3.1537427476301465	1	1	1	1	1	1
MK187	0.766409266409266	-0.3838130905435969	1	1	1	1	1	0
MK189	6.29343629343629	2.653847961431885	1	1	1	1	1	1
MK192	7.63899613899614	2.933383062286147	1	1	1	1	1	1
MK194	2.60617760617761	1.3819354042516414	1	1	1	1	1	1
MK196	0.44015444015444	-1.1839182735218128	1	1	1	1	0	0
MK198	0.401158301158301	-1.3177564436697051	1	1	1	1	0	0
MK199	1.41312741312741	0.49889155059748547	1	1	1	1	1	1
MK204	8.06949806949807	3.0124789392816913	1	1	1	1	1	1
MK207	0.611969111969112	-0.7084692575471467	1	1	1	1	1	0
MK210	2.4034749034749	1.2651217392688872	1	1	1	1	1	1
MK211	11.5830115830116	3.5339384976966914	1	1	1	1	1	1
MK214	1.64864864864865	0.7212839719339377	1	1	1	1	1	1
MK216	5.09073359073359	2.3478735681780063	1	1	1	1	1	1
MK220	6.78185328185328	2.761679573535817	1	1	1	1	1	1
MK222	2.31467181467181	1.2108076557276668	1	1	1	1	1	1
MK225	0.326254826254826	-1.6159288514043708	1	1	1	0	0	0
MK226	0.348841698841699	-1.5193555917093158	1	1	1	0	0	0
MK231	0.536679536679537	-0.8978672149630454	1	1	1	1	0	0
MK236	0.413127413127413	-1.2753413012854073	1	1	1	1	0	0
MK238	0.158605664488017	-2.656483798102478	1	1	1	0	0	0
MK241	0.04400871459695	-4.506066955549372	0	0	0	0	0	0
MK242	0.467181467181467	-1.0979450504119599	1	1	1	1	0	0
MK245	0.570806100217865	-0.8089273418763574	1	1	1	1	1	0
MK246	0.230718954248366	-2.115791564308834	1	1	1	0	0	0
MK249	0.026143790849673	-5.257387842692663	0	0	0	0	0	0
MK251	0.067320261437909	-3.892815410396785	1	0	0	0	0	0
MK254	0.062091503267974	-4.0094603292490625	1	0	0	0	0	0
MK259	0.209150326797386	-2.2573878426926495	1	1	1	0	0	0
MK262	0.094488017429194	-3.403724805325428	1	1	0	0	0	0
MK267	0.090631808278867	-3.46383872016008	1	1	0	0	0	0
MK270	0.081263616557734	-3.6212466180459364	1	1	0	0	0	0
MK275	0.426640926640927	-1.228905728295121	1	1	1	1	0	0
MK277	0.654440154440155	-0.6116668245502087	1	1	1	1	1	0
MK278	0.105984555984556	-3.238074043568717	1	1	0	0	0	0
MK281	0.571428571428571	-0.8073549220576053	1	1	1	1	1	0
MK286	0.488416988416989	-1.0338147129922421	1	1	1	1	0	0
MK288	0.370656370656371	-1.4318457869653962	1	1	1	0	0	0
MK289	0.053281853281853	-4.2302119257957544	1	0	0	0	0	0
MK297	0.432432432432432	-1.2094533656289512	1	1	1	1	0	0
MK298	0.579150579150579	-0.7879895971906734	1	1	1	1	1	0
MK301	0.55019305019305	-0.8619901786344504	1	1	1	1	0	0
MK303	0.474903474903475	-1.0742937823473138	1	1	1	1	0	0
MK305	0.97876447876448	-0.030966350683211522	1	1	1	1	1	0
LK001	0.044161073825503	-4.501080936501657	0	0	0	0	0	0
LK003	0.007758389261745	-7.010027122623564	0	0	0	0	0	0
LK004	0.034053691275168	-4.876045001060301	0	0	0	0	0	0
LK010	0.009718120805369	-6.685106918041062	0	0	0	0	0	0
LK013	0.06013422818792	-4.055669788179269	1	0	0	0	0	0
LK014	0.046818791946309	-4.416768480347313	1	0	0	0	0	0
LK017	0.072885906040269	-3.778216322432514	1	0	0	0	0	0
LK018	0.073154362416107	-3.7729122905726054	1	0	0	0	0	0
LK019	0.089189189189189	-3.4869873411578616	1	1	0	0	0	0
LK020	0.041476510067114	-4.5915616823325145	0	0	0	0	0	0
LK021	0.037315436241611	-4.744083637513368	0	0	0	0	0	0
LK022	0.056778523489933	-4.138510857116934	1	0	0	0	0	0
LK023	0.007409395973154	-7.07642834834615	0	0	0	0	0	0
LK024	0.067919463087248	-3.880031135542583	1	0	0	0	0	0
LK025	0.075261744966443	-3.7319394506579333	1	0	0	0	0	0
LK029	0.068993288590604	-3.857400161043009	1	0	0	0	0	0
LK031	0.05758389261745	-4.118190872737332	1	0	0	0	0	0
LK035	0.191698841698842	-2.3830864750455403	1	1	1	0	0	0
LK039	0.04510067114094	-4.470707287458113	1	0	0	0	0	0
LK040	0.042281879194631	-4.5638166918496035	0	0	0	0	0	0
LK043	0.039234899328859	-4.6717186913181985	0	0	0	0	0	0
LK044	0.331660231660232	-1.5922220614354512	1	1	1	0	0	0
LK045	0.249034749034749	-2.0055810322633	1	1	1	0	0	0
LK046	0.007369127516779	-7.084290466118957	0	0	0	0	0	0
LK048	0.420849420849421	-1.248623962909627	1	1	1	1	0	0
LK050	0.307528957528958	-1.7012058310486045	1	1	1	0	0	0
LK052	0.141208053691275	-2.8241057209445857	1	1	0	0	0	0
LK054	0.144161073825503	-2.794246432251477	1	1	0	0	0	0
LK057	0.05344966442953	-4.225675299403751	1	0	0	0	0	0
LK058	0.301208053691275	-1.7311677496280942	1	1	1	0	0	0
LK061	0.044161073825503	-4.501080936501657	0	0	0	0	0	0
LK066	0.03489932885906	-4.840656897208449	0	0	0	0	0	0
LK069	0.030335570469799	-5.042845747821683	0	0	0	0	0	0
LK071	0.041476510067114	-4.5915616823325145	0	0	0	0	0	0
LK072	0.287644787644788	-1.7976397672243905	1	1	1	0	0	0
LK074	0.018684563758389	-5.742009309275541	0	0	0	0	0	0
LK075	0.415057915057915	-1.2686154380970938	1	1	1	1	0	0
LK077	3.86930501930502	1.952074461656186	1	1	1	1	1	1
LK079	0.764478764478764	-0.38745166760694527	1	1	1	1	1	0
LK081	0.673166023166023	-0.570965733797212	1	1	1	1	1	0
LK083	1.1969111969112	0.25931611758768747	1	1	1	1	1	1
LK084	1.55019305019305	0.6324478898307605	1	1	1	1	1	1
LK087	0.78957528957529	-0.3408512547448043	1	1	1	1	1	0
LK089	13.7741312934363	3.78388942869857	1	1	1	1	1	1
LK091	2.21042471042471	1.144323595297752	1	1	1	1	1	1
LK093	1.76640926640927	0.820819645484854	1	1	1	1	1	1
LK099	0.556275780789629	-0.8461278001808215	1	1	1	1	0	0
LK100	0.244549204478491	-2.031803323308379	1	1	1	0	0	0
LK104	0.034413671184443	-4.860874385550014	0	0	0	0	0	0
LK106	0.061579257513259	-4.021411717461773	1	0	0	0	0	0
LK107	0.068945197407189	-3.858406129959262	1	0	0	0	0	0
LK110	0.104301708898055	-3.2611652994596714	1	1	0	0	0	0
LK111	0.069888037713612	-3.838810649884027	1	0	0	0	0	0
LK114	0.034001178550383	-4.878271435784544	0	0	0	0	0	0
LK117	0.214496169711255	-2.220976209343968	1	1	1	0	0	0
LK119	0.061284619917502	-4.028331131401559	1	0	0	0	0	0
LK121	0.285209192692988	-1.8099076122680668	1	1	1	0	0	0
LK122	0.312905126694166	-1.6762027987385106	1	1	1	0	0	0
LK124	0.213022981732469	-2.230919012591546	1	1	1	0	0	0
LK125	0.105480259281084	-3.244955072278411	1	1	0	0	0	0
LK126	1.16676487919859	0.22251386542431395	1	1	1	1	1	1
LK130	0.251620506776665	-1.9906785899221715	1	1	1	0	0	0
LK133	0.075545079552151	-3.7265183978112817	1	0	0	0	0	0
LK134	0.436063641720684	-1.1973893890263498	1	1	1	1	0	0
LK135	0.615792575132587	-0.6994836225744181	1	1	1	1	1	0
LK137	0.292280494991161	-1.7745745391557877	1	1	1	0	0	0
LK138	0.631113730111962	-0.664028084792408	1	1	1	1	1	0
LK140	5.5984555984556	2.4850288972157433	1	1	1	1	1	1
LK143	0.421331761932823	-1.2469714178769102	1	1	1	1	0	0
LK144	0.065645256334708	-3.929165427090001	1	0	0	0	0	0
LK146	0.364761343547437	-1.4549752503283973	1	1	1	0	0	0
LK147	0.875073659398939	-0.19252363385453575	1	1	1	1	1	0
LK149	0.331467295226871	-1.5930615634382637	1	1	1	0	0	0
LK151	2.84030642309959	1.506046581574662	1	1	1	1	1	1
LK152	0.173246906305245	-2.5290985047062953	1	1	1	0	0	0
LK154	0.29345904537419	-1.7687689174745813	1	1	1	0	0	0
LK155	1.0489098408957	0.06889067631109916	1	1	1	1	1	0
LK159	0.095462581025339	-3.3889208466580363	1	1	0	0	0	0
LK160	7.0019305019305	2.8077527422837254	1	1	1	1	1	1
LK163	0.284030642309959	-1.8158815133127004	1	1	1	0	0	0
LK164	2.73423688862699	1.4511382404722717	1	1	1	1	1	1
LK165	0.659398939304655	-0.6007765285662701	1	1	1	1	1	0
LK167	0.466532258064516	-1.0999512561667482	1	1	1	1	0	0
LK168	1.25403225806452	0.3265744597437318	1	1	1	1	1	1
LK169	1.06048387096774	0.0847226789054245	1	1	1	1	1	0
LK171	0.806451612903226	-0.3103401206121502	1	1	1	1	1	0
LK172	5.86100386100386	2.551147787728912	1	1	1	1	1	1
LK174	0.979838709677419	-0.029383806781094764	1	1	1	1	1	0
LK176	0.75	-0.4150374992788438	1	1	1	1	1	0
LK177	0.198790322580645	-2.3306805688963275	1	1	1	0	0	0
LK179	0.061290322580645	-4.028196891830656	1	0	0	0	0	0
LK180	0.242741935483871	-2.0425047285145355	1	1	1	0	0	0
LK184	0.071774193548387	-3.8003909743078417	1	0	0	0	0	0
LK188	0.102822580645162	-3.2817709684153695	1	1	0	0	0	0
LK190	0.324596774193549	-1.6232794322722555	1	1	1	0	0	0
LK192	16.2200772200772	4.019708782799962	1	1	1	1	1	1
LK194	0.096774193548387	-3.3692338096657206	1	1	0	0	0	0
LK195	16.7895752895753	4.0694938310960005	1	1	1	1	1	1
LK197	0.334274193548388	-1.5808961137784832	1	1	1	0	0	0
LK199	0.288709677419355	-1.7923086280099803	1	1	1	0	0	0
LK201	0.181451612903226	-2.462343214057199	1	1	1	0	0	0
LK204	0.156854838709678	-2.6724980602880404	1	1	1	0	0	0
LK206	0.254032258064517	-1.9769163868869537	1	1	1	0	0	0
LK208	0.146774193548387	-2.768329765075542	1	1	0	0	0	0
LK210	0.084274193548387	-3.5687652731933563	1	1	0	0	0	0
LK211	0.493951612903227	-1.0175583713843013	1	1	1	1	0	0
LK214	0.180645161290323	-2.4687694832166303	1	1	1	0	0	0
LK215	0.282661290322581	-1.8228537712636124	1	1	1	0	0	0
LK220	0.287500000000001	-1.7983661388303447	1	1	1	0	0	0
LK223	0.526209677419356	-0.9262903138169876	1	1	1	1	0	0
LK225	1.7953667953668	0.8442786183088435	1	1	1	1	1	1
LK226	3.51351351351351	1.8129144473995034	1	1	1	1	1	1
LK229	0.350806451612904	-1.5112528145381434	1	1	1	0	0	0
LK230	0.293145161290323	-1.7703128513546413	1	1	1	0	0	0
LK231	0.740322580645163	-0.4337740618604263	1	1	1	1	1	0
LK233	0.528225806451614	-0.920773308849422	1	1	1	1	0	0
LK236	0.237096774193549	-2.0764520604378696	1	1	1	0	0	0
LK241	0.29760348583878	-1.7485366700110796	1	1	1	0	0	0
LK244	0.232461873638344	-2.1049339774767466	1	1	1	0	0	0
LK250	0.3119825708061	-1.6804626610369149	1	1	1	0	0	0
LK256	0.161437908496732	-2.6309487059953365	1	1	1	0	0	0
LK257	1.17181467181467	0.228744418569126	1	1	1	1	1	1
LK258	0.980392156862745	-0.028569152196771117	1	1	1	1	1	0
LK261	1.30718954248366	0.38646834708207267	1	1	1	1	1	1
LK264	0.146623093681917	-2.769815743690855	1	1	0	0	0	0
LK267	0.127015250544662	-2.9769263651006774	1	1	0	0	0	0
LK270	0.171459694989107	-2.544058612793682	1	1	1	0	0	0
LK272	0.895424836601307	-0.15935575973212537	1	1	1	1	1	0
